,population size,function evaluations,bitflip probability,cross probability,fitness,execution
179,100,3000,0.1,0.5,82.0,29
180,100,3000,0.2,0.01,75.0,0
181,100,3000,0.2,0.01,75.0,1
182,100,3000,0.2,0.01,75.0,2
183,100,3000,0.2,0.01,75.0,3
184,100,3000,0.2,0.01,76.0,4
185,100,3000,0.2,0.01,77.0,5
186,100,3000,0.2,0.01,73.0,6
187,100,3000,0.2,0.01,76.0,7
188,100,3000,0.2,0.01,78.0,8
189,100,3000,0.2,0.01,74.0,9
190,100,3000,0.2,0.01,76.0,10
191,100,3000,0.2,0.01,74.0,11
192,100,3000,0.2,0.01,74.0,12
193,100,3000,0.2,0.01,77.0,13
194,100,3000,0.2,0.01,73.0,14
195,100,3000,0.2,0.01,74.0,15
196,100,3000,0.2,0.01,74.0,16
197,100,3000,0.2,0.01,74.0,17
198,100,3000,0.2,0.01,78.0,18
199,100,3000,0.2,0.01,78.0,19
200,100,3000,0.2,0.01,75.0,20
201,100,3000,0.2,0.01,76.0,21
202,100,3000,0.2,0.01,73.0,22
203,100,3000,0.2,0.01,77.0,23
204,100,3000,0.2,0.01,75.0,24
205,100,3000,0.2,0.01,74.0,25
206,100,3000,0.2,0.01,75.0,26
207,100,3000,0.2,0.01,75.0,27
208,100,3000,0.2,0.01,72.0,28
209,100,3000,0.2,0.01,78.0,29
210,100,3000,0.2,0.1,75.0,0
211,100,3000,0.2,0.1,75.0,1
212,100,3000,0.2,0.1,76.0,2
213,100,3000,0.2,0.1,73.0,3
214,100,3000,0.2,0.1,75.0,4
215,100,3000,0.2,0.1,77.0,5
216,100,3000,0.2,0.1,77.0,6
217,100,3000,0.2,0.1,74.0,7
218,100,3000,0.2,0.1,74.0,8
219,100,3000,0.2,0.1,76.0,9
220,100,3000,0.2,0.1,76.0,10
221,100,3000,0.2,0.1,74.0,11
222,100,3000,0.2,0.1,74.0,12
223,100,3000,0.2,0.1,75.0,13
224,100,3000,0.2,0.1,75.0,14
225,100,3000,0.2,0.1,76.0,15
226,100,3000,0.2,0.1,76.0,16
227,100,3000,0.2,0.1,76.0,17
228,100,3000,0.2,0.1,75.0,18
229,100,3000,0.2,0.1,76.0,19
230,100,3000,0.2,0.1,75.0,20
231,100,3000,0.2,0.1,76.0,21
232,100,3000,0.2,0.1,75.0,22
233,100,3000,0.2,0.1,73.0,23
234,100,3000,0.2,0.1,76.0,24
235,100,3000,0.2,0.1,75.0,25
236,100,3000,0.2,0.1,75.0,26
237,100,3000,0.2,0.1,76.0,27
238,100,3000,0.2,0.1,76.0,28
239,100,3000,0.2,0.1,76.0,29
240,100,3000,0.2,0.5,75.0,0
241,100,3000,0.2,0.5,74.0,1
242,100,3000,0.2,0.5,76.0,2
243,100,3000,0.2,0.5,74.0,3
244,100,3000,0.2,0.5,75.0,4
245,100,3000,0.2,0.5,78.0,5
246,100,3000,0.2,0.5,76.0,6
247,100,3000,0.2,0.5,75.0,7
248,100,3000,0.2,0.5,76.0,8
249,100,3000,0.2,0.5,79.0,9
250,100,3000,0.2,0.5,75.0,10
251,100,3000,0.2,0.5,77.0,11
252,100,3000,0.2,0.5,76.0,12
253,100,3000,0.2,0.5,74.0,13
254,100,3000,0.2,0.5,80.0,14
255,100,3000,0.2,0.5,76.0,15
256,100,3000,0.2,0.5,76.0,16
257,100,3000,0.2,0.5,74.0,17
258,100,3000,0.2,0.5,78.0,18
259,100,3000,0.2,0.5,75.0,19
260,100,3000,0.2,0.5,75.0,20
261,100,3000,0.2,0.5,79.0,21
262,100,3000,0.2,0.5,78.0,22
263,100,3000,0.2,0.5,75.0,23
264,100,3000,0.2,0.5,76.0,24
265,100,3000,0.2,0.5,76.0,25
266,100,3000,0.2,0.5,75.0,26
267,100,3000,0.2,0.5,78.0,27
268,100,3000,0.2,0.5,75.0,28
269,100,3000,0.2,0.5,77.0,29
