Mutation Probability,Crossover Probability,Evaluations_mean,Evaluations_std,time_mean,time_std
0.04,0.6,2110.0666666666666,263.38564008369707,37.06666666666667,1.7603552410558065
0.04,0.7,2035.8666666666666,323.5942258268922,36.63333333333333,1.8842968748696896
0.04,0.8,1817.0333333333333,336.8112623366113,35.36666666666667,2.1088211011798994
0.04,0.9,1818.2333333333333,227.06169347487509,35.5,1.3833991121322422
0.04,1.0,1766.3,302.93918247044587,35.06666666666667,1.9988502442280607
0.05,0.1,3532.8,592.9868522122154,43.86666666666667,2.285385854893463
0.05,0.2,3302.266666666667,476.25688036180026,43.03333333333333,2.0591818484673645
0.05,0.3,3095.866666666667,691.1181212146477,42.13333333333333,3.148435115761625
0.05,0.4,3050.9,586.0778664283795,41.56666666666667,2.5955310842283135
0.05,0.5,2638.4666666666667,372.28657235256696,40.06666666666667,1.8370390969378299
0.05,0.6,2670.366666666667,413.6991646723192,40.56666666666667,2.1120889044332114
0.05,0.7,2317.6666666666665,486.7416175948493,38.36666666666667,2.894505297894656
0.05,0.8,2343.7,375.08896875642534,38.666666666666664,2.039833213826533
0.05,0.9,2225.8,445.79672188272013,38.2,2.746784954488956
0.05,1.0,2046.8,384.36982909333733,37.03333333333333,2.38505885611371
0.06,0.1,4606.3,1025.7734222493307,47.666666666666664,3.594376194819493
0.06,0.2,4212.033333333334,1070.0403306396456,46.333333333333336,4.229072885546473
0.06,0.3,3810.366666666667,751.5046737796404,44.8,2.8935123627009873
0.06,0.4,3717.0,737.7905973358845,44.6,2.90777791686248
0.06,0.5,3459.6666666666665,602.2284669764304,43.833333333333336,2.3792686986193643
0.06,0.6,3117.0333333333333,646.7387941171396,42.2,2.9172495312513473
0.06,0.7,2982.3333333333335,605.8812523539766,41.7,2.768667051376766
0.06,0.8,3100.266666666667,545.6390706339666,42.233333333333334,2.4450277952490094
0.06,0.9,2571.5666666666666,554.508461011492,39.9,3.021189535083251
0.06,1.0,2718.8333333333335,556.0531532105563,40.53333333333333,2.8494806947731828
0.07,0.1,6212.566666666667,1358.6977203934287,53.166666666666664,4.503510763327018
0.07,0.2,5380.0,1137.628780129665,50.43333333333333,3.7571387988764777
0.07,0.3,4850.033333333334,948.6451857811471,48.63333333333333,3.2107935782760713
0.07,0.4,4766.033333333334,879.9476662860687,48.36666666666667,3.316451503446515
0.07,0.5,3934.1,820.7736615220275,45.43333333333333,3.202190342329098
0.07,0.6,4109.266666666666,992.8484599211585,46.03333333333333,4.004164498785399
0.07,0.7,3969.766666666667,713.8188064948606,45.86666666666667,2.788317170566892
0.07,0.8,3563.5666666666666,789.2326995398683,44.166666666666664,3.152266106976915
0.07,0.9,3624.9,698.7450005989803,44.46666666666667,2.800656737431337
0.07,1.0,3467.9333333333334,564.0748258834126,43.8,2.510666898627149
0.08,0.1,7734.4,1634.211095130698,58.86666666666667,6.431245566780192
0.08,0.2,7201.966666666666,1809.4662288457703,58.0,6.57581776742215
0.08,0.3,6357.466666666666,1660.132768544553,54.766666666666666,5.67318759351957
0.08,0.4,6272.833333333333,1778.8727364945694,54.6,5.9166626193931435
0.08,0.5,5900.866666666667,1881.59464162776,54.7,6.833739825307954
0.08,0.6,5595.133333333333,1423.3734269838249,52.266666666666666,5.098568651969941
0.08,0.7,5049.3,1605.7313115299166,51.03333333333333,6.211687167852577
0.08,0.8,4937.3,964.188855087976,50.5,3.748562943039777
0.08,0.9,4859.7,1101.6569072897923,49.9,4.204677198647667
0.08,1.0,4470.7,929.6362340110281,48.5,3.511066249289031
0.09,0.1,10464.433333333332,2704.613015639726,67.23333333333333,8.660983990180382
0.09,0.2,10558.633333333333,2593.2026196263146,67.83333333333333,8.039056958475241
0.09,0.3,8871.6,2970.4788143002966,65.93333333333334,9.737709612929885
0.09,0.4,8861.933333333332,2019.4712680052794,64.63333333333334,6.299881407385889
0.09,0.5,7980.9,2296.9258969026555,59.43333333333333,7.708854440291966
0.09,0.6,7724.0,2607.6814116811865,59.43333333333333,8.46772099508331
0.09,0.7,6911.166666666667,2254.0711839466935,57.06666666666667,7.464552245773691
0.09,0.8,6586.733333333334,1894.0759175939058,56.2,6.2939489276167695
0.09,0.9,6369.966666666666,1844.909650779742,55.43333333333333,6.234958912749799
0.09,1.0,6746.2,1637.2384739828387,56.96666666666667,5.869167439831786
0.1,0.1,15806.1,5043.1950145887095,83.66666666666667,13.953947243635435
0.1,0.2,13901.833333333334,3069.7355168936233,78.16666666666667,9.240403534005663
0.1,0.3,11955.0,3163.46445836054,73.06666666666666,10.18089262848026
0.1,0.4,11774.933333333332,3218.049954963981,72.36666666666666,10.111391095445642
0.1,0.5,11135.133333333333,3336.5486786584534,70.83333333333333,10.863045020915491
0.1,0.6,10437.066666666668,2970.3308179083506,68.46666666666667,9.772351332955271
0.1,0.7,9708.866666666667,3181.6799047188824,66.53333333333333,10.384781083918888
0.1,0.8,9529.2,2274.490036060376,65.06666666666666,7.624521842931093
0.1,0.9,8246.333333333334,2252.9578769702503,61.333333333333336,7.106739556676943
0.1,1.0,7796.8,2374.3384908149715,59.96666666666667,7.690044317765366
