,population size,function evaluations,bitflip probability,cross probability,fitness,execution
96,100,1000,0.01,0.9,1664.0,6
97,100,1000,0.01,0.9,1538.0,7
98,100,1000,0.01,0.9,1149.0,8
99,100,1000,0.01,0.9,1430.0,9
100,100,1000,0.01,0.9,1328.0,10
101,100,1000,0.01,0.9,1334.0,11
102,100,1000,0.01,0.9,1577.0,12
103,100,1000,0.01,0.9,1292.0,13
104,100,1000,0.01,0.9,1425.0,14
105,100,1000,0.01,0.9,1262.0,15
106,100,1000,0.01,0.9,1290.0,16
107,100,1000,0.01,0.9,1816.0,17
108,100,1000,0.01,0.9,1394.0,18
109,100,1000,0.01,0.9,1583.0,19
110,100,1000,0.01,0.9,1503.0,20
111,100,1000,0.01,0.9,1276.0,21
112,100,1000,0.01,0.9,1307.0,22
113,100,1000,0.01,0.9,1223.0,23
114,100,1000,0.01,0.9,1224.0,24
115,100,1000,0.01,0.9,1332.0,25
116,100,1000,0.01,0.9,1078.0,26
117,100,1000,0.01,0.9,1395.0,27
118,100,1000,0.01,0.9,1512.0,28
119,100,1000,0.01,0.9,1670.0,29
120,100,1000,0.01,0.95,1231.0,0
121,100,1000,0.01,0.95,1389.0,1
122,100,1000,0.01,0.95,1155.0,2
123,100,1000,0.01,0.95,1507.0,3
124,100,1000,0.01,0.95,1291.0,4
125,100,1000,0.01,0.95,1345.0,5
126,100,1000,0.01,0.95,1493.0,6
127,100,1000,0.01,0.95,1532.0,7
128,100,1000,0.01,0.95,1389.0,8
129,100,1000,0.01,0.95,1018.0,9
130,100,1000,0.01,0.95,1385.0,10
131,100,1000,0.01,0.95,1430.0,11
132,100,1000,0.01,0.95,1290.0,12
133,100,1000,0.01,0.95,1307.0,13
134,100,1000,0.01,0.95,1128.0,14
135,100,1000,0.01,0.95,1409.0,15
136,100,1000,0.01,0.95,1144.0,16
137,100,1000,0.01,0.95,1180.0,17
138,100,1000,0.01,0.95,1461.0,18
139,100,1000,0.01,0.95,1299.0,19
140,100,1000,0.01,0.95,1477.0,20
141,100,1000,0.01,0.95,1261.0,21
142,100,1000,0.01,0.95,1205.0,22
143,100,1000,0.01,0.95,1102.0,23
