Mutation Probability,Crossover Probability,Fitness_mean,Fitness_std,time_mean,time_std
0.08,1.0,48.63333333333333,0.7183954022841379,39.56666666666667,0.5683207771559349
0.09,0.1,46.46666666666667,0.8603661343041518,39.166666666666664,0.3790490217894514
0.09,0.2,46.833333333333336,0.9855274566525747,39.333333333333336,0.5466722735905344
0.09,0.3,46.766666666666666,0.7738543627276687,39.833333333333336,2.1827431860143225
0.09,0.4,47.53333333333333,1.0080138659874618,39.333333333333336,0.6064784348631225
0.09,0.5,47.6,0.7239737088005904,39.333333333333336,0.6064784348631204
0.09,0.6,47.7,1.0221680811915912,39.2,0.40683810217248634
0.09,0.7,47.666666666666664,0.8441822541139558,39.2,0.4068381021724855
0.09,0.8,47.7,0.7497125886079552,39.266666666666666,0.44977644510880405
0.09,0.9,48.0,0.587220219514704,39.5,0.5085476277156074
0.09,1.0,48.13333333333333,0.7302967433402225,39.43333333333333,0.5683207771559362
0.1,0.1,46.06666666666667,0.9071871393197363,39.13333333333333,0.5074162634049246
0.1,0.2,46.03333333333333,0.7183954022841379,39.1,0.4806604651504233
0.1,0.3,46.5,0.9377154924749759,39.36666666666667,0.6149478998583773
0.1,0.4,46.93333333333333,0.9071871393197369,39.233333333333334,0.5040069329937306
0.1,0.5,46.766666666666666,0.7738543627276668,39.266666666666666,0.5208304597621869
0.1,0.6,46.96666666666667,0.8087168778415271,39.3,0.6512587281829569
0.1,0.7,47.233333333333334,0.8172001541568771,39.5,0.5723514714723388
0.1,0.8,47.266666666666666,0.9071871393197357,39.36666666666667,0.4901325178535595
0.1,0.9,47.4,0.8550055454548927,39.4,0.5632418479750464
0.1,1.0,47.36666666666667,0.7183954022841376,39.5,0.5085476277156081
